To,Nominal (in),Segment,Global X (ft),Global Y (ft),Global Z (ft)
B103,4.000,B,585.6221,14.47833,-247.3546
B104,4.000,B,585.6221,14.47833,-247.2396
B105,1.500,B,585.6221,14.37416,-246.9063
B106,1.500,B,585.6221,14.37416,-246.7917
B107,1.500,B,585.6221,14.37416,-246.4792
B108,1.500,B,585.6221,14.37416,-245.9167
B109,1.500,B,585.6221,14.37416,-245.385
B222,1.500,B,586.0905,14.37416,-245.385
B110,1.500,B,586.5596,14.37416,-245.385
B111,1.500,B,586.5596,14.37416,-246.7913
B112,1.500,B,586.5596,14.37416,-246.9058
B113,4.000,B,586.5596,14.47833,-247.2392
B114,4.000,B,586.5596,14.47833,-247.3542
B115,4.000,B,586.5596,14.47833,-251.4892
B116,4.000,B,586.5596,14.47833,-261.125
B117,4.000,B,586.5596,14.47833,-270.2608
B118,4.000,B,586.5596,14.47833,-279.5425
B119,4.000,B,586.5596,14.47833,-282.3441
B120,4.000,B,586.5596,14.47833,-290.3341
B121,4.000,B,586.5596,14.47833,-294.3025
B122,4.000,B,586.5596,14.47833,-299.2712
B123,4.000,B,586.5596,14.47833,-309.2396
B124,4.000,B,586.5596,14.47833,-319.2079
B125,4.000,B,586.5596,14.47833,-324.4788
B126,4.000,B,586.5596,14.47833,-328.1454
B127,4.000,B,586.5596,14.47833,-337.9471
B128,4.000,B,586.5596,14.47833,-348.0829
B129,4.000,B,586.5596,14.47833,-351.4263
B130,4.000,B,582.4138,14.47833,-351.4263
B131,4.000,B,576.5805,14.47833,-351.4263
B132,4.000,B,569.0388,14.47833,-351.4263
B133,4.000,B,563.0388,14.47833,-351.4263
B134,4.000,B,561.9138,13.06166,-351.4263
B135,4.000,B,559.3096,13.06166,-351.4263
B136,4.000,B,539.9138,13.06166,-351.4263
B137,4.000,B,533.1538,13.06166,-351.4263
B138,4.000,B,523.3621,13.06166,-351.4263
B139,4.000,B,517.1538,13.06166,-351.4263
B140,4.000,B,509.1538,13.06166,-351.4263
B141,4.000,B,503.4972,13.06166,-351.4263
B142,4.000,B,489.1013,13.06166,-351.4263
B143,4.000,B,481.1013,13.06166,-351.4263
B144,4.000,B,472.7263,13.06166,-351.4263
B145,4.000,B,465.1013,13.06166,-351.4263
B146,4.000,B,457.1013,13.06166,-351.4263
B147,4.000,B,447.4347,13.06166,-351.4263
B148,4.000,B,441.1013,13.06166,-351.4263
B149,4.000,B,425.0701,13.06166,-351.4263
B150,4.000,B,417.9551,13.06166,-351.4263
B151,4.000,B,409.9551,13.06166,-351.4263
B152,4.000,B,401.9551,13.06166,-351.4263
B153,4.000,B,393.9551,13.06166,-351.4263
B154,4.000,B,385.9551,13.06166,-351.4263
B155,4.000,B,373.3617,13.06166,-351.4263
B156,4.000,B,365.3617,13.06166,-351.4263
B157,4.000,B,357.3617,13.06166,-351.4263
B158,4.000,B,349.3617,13.06166,-351.4263
B159,4.000,B,341.3617,13.06166,-351.4263
B160,4.000,B,334.0909,13.06166,-351.4263
B161,4.000,B,325.3617,13.06166,-351.4263
B162,4.000,B,323.3934,13.06166,-351.4263
B163,6.000,B,322.9351,13.145,-351.4263
B164,6.000,B,322.7267,13.145,-351.4263
B165,6.000,B,321.7059,13.145,-351.4263
B166,6.000,B,319.5913,13.145,-351.4263
B167,6.000,B,312.498,13.145,-351.4263
B168,6.000,B,305.6955,13.145,-351.4263
B169,6.000,B,297.6955,13.145,-351.4263
B170,6.000,B,289.6955,13.145,-351.4263
B171,6.000,B,281.6955,13.145,-351.4263
B172,6.000,B,276.4771,13.145,-351.4263
B173,6.000,B,263.9771,13.145,-351.4263
B174,6.000,B,255.9771,13.145,-351.4263
B175,6.000,B,247.9771,13.145,-351.4263
B176,6.000,B,239.9771,13.145,-351.4263
B177,6.000,B,231.9771,13.145,-351.4263
B178,6.000,B,223.6338,13.145,-351.4263
B179,6.000,B,209.113,13.145,-351.4263
B180,6.000,B,201.113,13.145,-351.4263
B181,6.000,B,199.5813,13.145,-351.4263
B182,6.000,B,198.5188,14.645,-351.4263
B183,6.000,B,195.998,14.645,-351.4263
B221,6.000,B,195.998,14.645,-356.8746
B184,6.000,B,195.998,14.645,-357.8742
B185,6.000,B,195.998,21.23833,-357.8742
B186,6.000,B,195.998,21.23833,-353.1442
B187,6.000,B,195.998,21.23833,-343.1442
B188,6.000,B,195.998,21.23833,-333.1442
B189,6.000,B,195.998,21.23833,-328.3109
B190,6.000,B,190.6446,21.23833,-328.3109
B191,6.000,B,183.5546,21.23833,-328.3109
B192,6.000,B,174.6446,21.23833,-328.3109
B193,6.000,B,166.6446,21.23833,-328.3109
B194,6.000,B,160.1863,21.23833,-328.3109
B195,6.000,B,160.1863,27.87375,-328.3109
B196,6.000,B,160.1863,27.87375,-323.1442
B197,6.000,B,160.1863,27.87375,-319.3109
B198,6.000,B,155.4363,27.87375,-319.3109
B199,6.000,B,145.4363,27.87375,-319.3109
B200,6.000,B,135.4363,27.87375,-319.3109
B201,6.000,B,125.4363,27.87375,-319.3109
B202,6.000,B,115.4363,27.87375,-319.3109
B203,6.000,B,105.4363,27.87375,-319.3109
B204,6.000,B,95.4363,27.87375,-319.3109
B205,6.000,B,85.4363,27.87375,-319.3109
B206,6.000,B,75.4363,27.87375,-319.3109
B207,6.000,B,65.4363,27.87375,-319.3109
B208,6.000,B,55.4363,27.87375,-319.3109
B209,6.000,B,45.4263,27.87375,-319.3109
B210,6.000,B,35.4263,27.87375,-319.3109
B211,6.000,B,25.4263,27.87375,-319.3109
B212,6.000,B,15.4263,27.87375,-319.3109
B213,6.000,B,8.8663,27.87375,-319.3109
