Seg,Point,Type,Tag No.,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalMX,GlobalMY,GlobalMZ,GlobalRM,LocalFX,LocalFY,LocalFZ,LocalMX,LocalMY,LocalMZ,CoordX,CoordY,CoordZ
BA,BA04,Anchor,EQUIPMENT,COLD,4,-1,-2,0,3,4,0,-5,7,2,0,1,0,-5,-4,-822.52,20.08,28.08
BA,BA04,Anchor,EQUIPMENT,OPERATING,4,12,1,20,23,39,4,-22,44,-1,20,-12,-4,-22,-39,-822.52,20.08,28.08
BB,BB04,Anchor,EQUIPMENT,COLD,4,-1,-2,1,2,4,0,-4,5,2,1,1,0,-4,-4,-822.86,20.08,28.89
BB,BB04,Anchor,EQUIPMENT,OPERATING,4,10,0,19,21,36,-1,-21,42,0,19,-10,1,-21,-36,-822.86,20.08,28.89
BC,BC09,Anchor,EQUIPMENT,COLD,2.5,8,-82,1,83,-11,-18,12,24,82,1,-8,18,12,11,-782.34,20.08,37.6
BC,BC09,Anchor,EQUIPMENT,OPERATING,2.5,10,-73,3,73,-1,-24,6,25,73,3,-10,24,6,1,-782.34,20.08,37.6
BD,BD00,Anchor,EQUIPMENT,COLD,2.5,0,-4,3,5,12,4,-4,13,-4,3,0,4,-4,12,-682.61,26.9,83.46
BD,BD00,Anchor,EQUIPMENT,OPERATING,2.5,1,-1,-14,14,-29,-24,-17,41,-1,-14,1,-24,-17,-29,-682.61,26.9,83.46
BE,BE00,Anchor,EQUIPMENT,COLD,3,-6,-46,0,47,6,20,-26,33,-46,0,-6,20,-26,6,-764.97,20.08,47.15
BE,BE00,Anchor,EQUIPMENT,OPERATING,3,-5,-40,2,41,18,22,-36,46,-40,2,-5,22,-36,18,-764.97,20.08,47.15
BF,BF08,Anchor,EQUIPMENT,COLD,0,0,-15,1,15,6,2,-5,8,15,1,0,-2,-5,-6,-724.17,24.69,64.51
BF,BF08,Anchor,EQUIPMENT,OPERATING,0,0,-11,0,11,0,1,-9,9,11,0,0,-1,-9,0,-724.17,24.69,64.51
BG,BG10,Anchor,EQUIPMENT,COLD,2.5,0,-7,3,8,10,5,-10,15,7,3,0,-5,-10,-10,-682.33,26.9,82.77
BG,BG10,Anchor,EQUIPMENT,OPERATING,2.5,2,-5,-15,16,-32,-21,-24,45,5,-15,-2,21,-24,32,-682.33,26.9,82.77
BH,BH09,Anchor,EQUIPMENT,COLD,0,0,-8,1,8,6,2,-3,7,8,1,0,-2,-3,-6,-744.49,24.69,55.54
BH,BH09,Anchor,EQUIPMENT,OPERATING,0,0,-5,1,5,6,1,-6,9,5,1,0,-1,-6,-6,-744.49,24.69,55.54
BI,BI00,Anchor,EQUIPMENT,COLD,3,-7,-58,-1,59,7,24,-33,42,-58,-1,-7,24,-33,7,-764.67,20.08,46.43
BI,BI00,Anchor,EQUIPMENT,OPERATING,3,-6,-52,1,53,18,26,-43,53,-52,1,-6,26,-43,18,-764.67,20.08,46.43
BJ,BJ09,Anchor,EQUIPMENT,COLD,2.5,7,-59,1,59,-11,-20,16,28,59,1,-7,20,16,11,-782.05,20.08,36.9
BJ,BJ09,Anchor,EQUIPMENT,OPERATING,2.5,8,-47,3,48,0,-26,12,29,47,3,-8,26,12,0,-782.05,20.08,36.9
BL,BL00,Anchor,,COLD,0,0,-7,0,7,-3,0,-9,10,0,-7,0,1,0,-10,-668.95,16.46,228.57
BL,BL00,Anchor,,OPERATING,0,0,-7,0,7,-3,0,-9,10,0,-7,0,1,0,-10,-668.95,16.46,228.57
BL,BL42,Anchor,,COLD,0,0,-8,0,8,-5,0,-13,13,0,-8,0,0,0,13,-633.92,17.75,214.06
BL,BL42,Anchor,,OPERATING,0,0,-8,0,8,-5,1,-12,13,0,-8,0,0,1,13,-633.92,17.75,214.06
BM,BM15,Anchor,,COLD,0,0,-8,0,8,-5,0,-13,13,0,-8,0,0,0,13,-651.86,17.75,221.49
BM,BM15,Anchor,,OPERATING,0,0,-8,0,8,-5,0,-12,13,0,-8,0,0,0,13,-651.86,17.75,221.49
BN,BN03,Anchor,,COLD,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-639.28,17.75,201.12
BN,BN03,Anchor,,OPERATING,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-639.28,17.75,201.12
BO,BO03,Anchor,,COLD,0,0,-8,0,8,-4,0,-11,12,0,-8,0,0,0,12,-674.31,16.46,215.63
BO,BO03,Anchor,,OPERATING,0,0,-8,0,8,-4,0,-11,12,0,-8,0,0,0,12,-674.31,16.46,215.63
BQ,BQ00,Anchor,,COLD,0,0,-8,0,8,-4,0,-11,11,0,-8,0,0,0,-11,-669.14,16.46,228.1
BQ,BQ00,Anchor,,OPERATING,0,0,-8,0,8,-4,0,-11,11,0,-8,0,0,0,-11,-669.14,16.46,228.1
BQ,BQ42,Anchor,,COLD,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-634.11,17.75,213.59
BQ,BQ42,Anchor,,OPERATING,0,0,-9,0,9,-6,1,-14,15,0,-9,0,0,1,15,-634.11,17.75,213.59
BR,BR15,Anchor,,COLD,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-652.05,17.75,221.03
BR,BR15,Anchor,,OPERATING,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-652.05,17.75,221.03
BS,BS03,Anchor,,COLD,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-639.47,17.75,200.66
BS,BS03,Anchor,,OPERATING,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-639.47,17.75,200.66
BT,BT03,Anchor,,COLD,0,0,-8,0,8,-5,0,-11,12,0,-8,0,0,0,12,-674.5,16.46,215.17
BT,BT03,Anchor,,OPERATING,0,0,-8,0,8,-4,0,-11,12,0,-8,0,0,0,12,-674.5,16.46,215.17
BV,BV41,Anchor,,COLD,0,0,-2,0,2,0,0,0,0,0,-2,0,0,0,0,-644.56,14.94,54.34
BV,BV41,Anchor,,OPERATING,0,0,-2,0,2,0,1,0,1,0,-2,0,0,1,0,-644.56,14.94,54.34
BW,BW07,Anchor,,COLD,0,0,3,0,3,2,0,1,2,0,3,0,0,0,-2,-654.59,14.96,43.9
BW,BW07,Anchor,,OPERATING,0,0,3,0,3,2,0,1,2,0,3,0,0,0,-2,-654.59,14.96,43.9
BX,BX05,Anchor,,COLD,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-650.34,14.34,45.66
BX,BX05,Anchor,,OPERATING,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-650.34,14.34,45.66
BY,BY41,Anchor,,COLD,0,0,-2,0,2,0,0,0,0,0,-2,0,0,0,0,-643.79,14.94,54.64
BY,BY41,Anchor,,OPERATING,0,0,-2,0,2,0,1,0,1,0,-2,0,0,1,0,-643.79,14.94,54.64
CA,CA07,Anchor,,COLD,0,0,2,0,2,1,0,1,1,0,2,0,0,0,-1,-654.13,14.96,44.09
CA,CA07,Anchor,,OPERATING,0,0,2,0,2,1,0,1,1,0,2,0,0,0,-1,-654.13,14.96,44.09
CB,CB05,Anchor,,COLD,0,0,2,0,2,1,0,0,1,0,2,0,-1,0,-1,-649.88,14.34,45.85
CB,CB05,Anchor,,OPERATING,0,0,2,0,2,1,0,0,1,0,2,0,-1,0,-1,-649.88,14.34,45.85
CC,CC00,Anchor,,COLD,0,0,-3,0,3,-2,0,-1,3,0,-3,0,0,0,-3,-682.57,10.98,68.87
CC,CC00,Anchor,,OPERATING,0,0,-3,0,3,-2,1,-1,3,0,-3,0,0,1,-2,-682.57,10.98,68.87
CD,CD00,Anchor,,COLD,0,0,-3,0,3,-2,0,-1,2,0,-3,0,0,0,-2,-691.62,11.48,65.12
CD,CD00,Anchor,,OPERATING,0,0,-3,0,3,-2,-1,-1,2,0,-3,0,0,-1,-2,-691.62,11.48,65.12
CD,CD13,Anchor,,COLD,0,0,-3,0,3,-2,0,-1,3,0,-3,0,0,0,3,-679.78,11.48,70.03
CD,CD13,Anchor,,OPERATING,0,0,-3,0,3,-2,1,-1,3,0,-3,0,0,1,3,-679.78,11.48,70.03
CF,CF00,Anchor,,COLD,0,0,-3,0,3,-3,0,-1,3,0,-3,0,0,0,-3,-683.03,10.98,68.68
CF,CF00,Anchor,,OPERATING,0,0,-3,0,3,-3,1,-1,3,-1,-3,0,0,1,-3,-683.03,10.98,68.68
CG,CG00,Anchor,,COLD,0,0,-3,0,3,-1,0,-1,2,0,-3,0,0,0,-1,-691.16,11.48,65.31
CG,CG00,Anchor,,OPERATING,0,0,-3,0,3,-1,-1,-1,2,0,-3,0,0,-1,-1,-691.16,11.48,65.31
CG,CG13,Anchor,,COLD,0,0,-2,0,2,-1,0,0,1,0,-2,0,0,0,1,-680.24,11.48,69.84
CG,CG13,Anchor,,OPERATING,0,0,-2,-1,3,-1,1,0,2,0,-2,1,0,1,1,-680.24,11.48,69.84
CI,CI04,Anchor,,COLD,0,0,4,0,4,2,0,0,2,0,4,0,0,0,-2,-704.34,11.93,62.02
CI,CI04,Anchor,,OPERATING,0,0,4,0,4,2,0,0,2,0,4,0,0,0,-2,-704.34,11.93,62.02
CJ,CJ18,Anchor,,COLD,0,0,10,0,10,2,0,1,2,0,10,0,0,0,-2,-739.11,11.48,47.62
CJ,CJ18,Anchor,,OPERATING,0,0,10,0,10,2,-1,1,2,0,10,0,0,-1,-2,-739.11,11.48,47.62
CK,CK04,Anchor,,COLD,0,0,4,0,4,2,0,1,2,0,4,0,0,0,-2,-697.93,11.93,64.68
CK,CK04,Anchor,,OPERATING,0,0,4,0,4,2,0,1,2,0,4,0,0,0,-2,-697.93,11.93,64.68
CL,CL04,Anchor,,COLD,0,0,2,0,2,1,0,0,1,0,2,0,0,0,-1,-704.07,11.93,62.68
CL,CL04,Anchor,,OPERATING,0,0,2,0,2,1,-1,0,1,0,2,0,0,-1,-1,-704.07,11.93,62.68
CM,CM18,Anchor,,COLD,0,0,5,0,5,2,0,0,2,0,5,0,0,0,-2,-738.84,11.48,48.27
CM,CM18,Anchor,,OPERATING,0,0,5,0,5,2,-1,0,2,0,5,0,0,-1,-2,-738.84,11.48,48.27
CN,CN04,Anchor,,COLD,0,0,2,0,2,1,0,1,1,0,2,0,0,0,-1,-697.66,11.93,65.33
CN,CN04,Anchor,,OPERATING,0,0,2,0,2,1,0,1,1,0,2,0,0,0,-1,-697.66,11.93,65.33
CO,CO04,Anchor,,COLD,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,-708.62,12.5,84.91
CO,CO04,Anchor,,OPERATING,0,0,-1,0,1,0,1,0,1,0,-1,0,0,1,0,-708.62,12.5,84.91
CP,CP04,Anchor,,COLD,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,-708.43,12.5,84.45
CP,CP04,Anchor,,OPERATING,0,1,-1,0,1,0,1,0,1,0,-1,0,0,1,0,-708.43,12.5,84.45
CR,CR00,Anchor,,COLD,0,0,-11,0,11,-9,0,-3,10,0,-11,0,-1,0,-10,-888.7,12.99,109.07
CR,CR00,Anchor,,OPERATING,0,0,-11,0,11,-9,0,-3,10,0,-11,0,-1,0,-10,-888.7,12.99,109.07
CR,CR35,Anchor,,COLD,4,2,-217,1,217,2,11,-13,17,217,1,-2,-11,-13,-2,-813.62,1.5,51.1
CR,CR35,Anchor,,OPERATING,4,-9,-179,10,179,19,29,51,61,179,10,9,-29,51,-19,-813.62,1.5,51.1
CT,CT00,Anchor,,COLD,0,0,-12,0,12,-12,0,-6,13,0,-12,0,1,0,-13,-887.95,12.99,109.44
CT,CT00,Anchor,,OPERATING,0,0,-12,0,12,-12,0,-6,13,0,-12,0,1,0,-13,-887.95,12.99,109.44
CT,CT35,Anchor,,COLD,4,3,-223,1,223,-1,14,-15,21,223,1,-3,-14,-15,1,-812.46,1.5,51.57
CT,CT35,Anchor,,OPERATING,4,-4,-190,7,190,-3,35,18,39,190,7,4,-35,18,3,-812.46,1.5,51.57
CU,CU03,Anchor,,COLD,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-657.41,17.75,208.09
CU,CU03,Anchor,,OPERATING,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-657.41,17.75,208.09
CV,CV03,Anchor,,COLD,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-657.22,17.75,208.55
CV,CV03,Anchor,,OPERATING,0,0,-9,0,9,-6,0,-14,15,0,-9,0,0,0,15,-657.22,17.75,208.55
CY,CY48,Anchor,EQUIPMENT,COLD,0,0,-4,0,4,-1,0,0,1,0,-4,0,1,0,0,-1038.77,15.69,53.6
CY,CY48,Anchor,EQUIPMENT,OPERATING,0,0,-4,0,4,-1,0,0,1,-1,-4,0,1,0,0,-1038.77,15.69,53.6
CZ,CZ17,Anchor,EQUIPMENT,COLD,0,0,-7,0,7,-3,0,-2,4,0,-7,0,1,0,4,-1017.33,15.23,74.77
CZ,CZ17,Anchor,EQUIPMENT,OPERATING,0,0,-7,0,7,-3,2,-2,4,0,-7,0,1,2,4,-1017.33,15.23,74.77
DA,DA48,Anchor,EQUIPMENT,COLD,0,0,-5,0,5,-1,0,0,1,0,-5,0,0,0,1,-1038.3,15.69,54.07
DA,DA48,Anchor,EQUIPMENT,OPERATING,0,0,-5,0,5,-1,0,0,1,-1,-5,0,0,0,1,-1038.3,15.69,54.07
