Seg,Point,Type,Tag No.,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalMX,GlobalMY,GlobalMZ,GlobalRM,LocalFX,LocalFY,LocalFZ,LocalMX,LocalMY,LocalMZ,CoordX,CoordY,CoordZ
EB,EB00,Anchor,EQUIPMENT,COLD,2.5,-1,-11,1,12,9,5,17,19,11,1,1,-5,17,-9,-1179.64,36.44,-184.48
EB,EB00,Anchor,EQUIPMENT,OPERATING,2.5,-1,-16,1,16,8,1,15,17,16,1,1,-1,15,-8,-1179.64,36.44,-184.48
EC,EC00,Anchor,EQUIPMENT,COLD,2.5,-1,-11,0,11,12,5,17,21,11,0,1,-5,17,-12,-1180.3,36.44,-184.48
EC,EC00,Anchor,EQUIPMENT,OPERATING,2.5,-1,-15,0,16,10,2,15,18,15,0,1,-2,15,-10,-1180.3,36.44,-184.48
ED,ED17,Anchor,EQUIPMENT,COLD,0,0,-4,0,4,0,0,0,1,0,-4,0,0,0,0,-1112.08,30.98,-110.8
ED,ED17,Anchor,EQUIPMENT,OPERATING,0,-2,-4,0,5,0,-2,0,2,-2,-4,0,0,-2,0,-1112.08,30.98,-110.8
EE,EE17,Anchor,EQUIPMENT,COLD,0,0,-4,0,4,1,0,0,1,0,-4,0,1,0,0,-1112.08,30.98,-110.13
EE,EE17,Anchor,EQUIPMENT,OPERATING,0,-2,-4,0,5,1,-2,0,3,-2,-4,0,1,-2,0,-1112.08,30.98,-110.13
EF,EF16,Anchor,EQUIPMENT,COLD,0,0,-31,0,31,0,0,0,1,31,0,0,0,0,0,-1304.92,-1.49,14.64
EF,EF16,Anchor,EQUIPMENT,OPERATING,0,0,-30,0,30,0,0,0,0,30,0,0,0,0,0,-1304.92,-1.49,14.64
EG,EG16,Anchor,EQUIPMENT,COLD,0,0,-31,0,31,1,0,0,1,31,0,0,0,0,-1,-1305.39,-1.49,15.11
EG,EG16,Anchor,EQUIPMENT,OPERATING,0,0,-31,0,31,1,0,0,1,31,0,0,0,0,-1,-1305.39,-1.49,15.11
EI,EI07,Anchor,,COLD,0,-1,-21,0,21,2,0,-2,2,-21,0,-1,0,-2,2,-1287.77,31.82,30.04
EI,EI07,Anchor,,OPERATING,0,-4,-22,-3,22,14,-1,-18,23,-22,-3,-4,-1,-18,14,-1287.77,31.82,30.04
EJ,EJ00,Anchor,,COLD,0,-1,-24,0,24,2,0,-2,2,24,0,1,0,-2,-2,-1287.41,31.82,29.68
EJ,EJ00,Anchor,,OPERATING,0,-4,-24,-3,24,13,-1,-17,22,24,-3,4,1,-17,-13,-1287.41,31.82,29.68
EL,EL12,Anchor,EQUIPMENT,COLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-828.55,31.78,-163.94
EL,EL12,Anchor,EQUIPMENT,OPERATING,0,-6,0,0,6,0,1,0,1,-6,0,0,0,1,0,-828.55,31.78,-163.94
EM,EM12,Anchor,EQUIPMENT,COLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-828.55,31.78,-163.42
EM,EM12,Anchor,EQUIPMENT,OPERATING,0,-7,0,0,7,0,2,0,2,-7,0,0,0,2,0,-828.55,31.78,-163.42
EN,EN02,Anchor,EQUIPMENT,COLD,0,-1,-2,0,2,0,-1,0,1,1,-2,0,0,-1,0,-1267.9,12,-292.49
EN,EN02,Anchor,EQUIPMENT,OPERATING,0,1,-2,0,2,0,0,0,1,-1,-2,0,0,0,0,-1267.9,12,-292.49
